ID;Instalacao LOCALIZACAO;Projeto LOCALIZACAO;NOME;MODELO;SERIAL;TAG;DATA DE ENTRADA;FABRICANTE;TIPO;DESCRICAO;Criptografado;Endereco hsWNet;Porcentagem Jiga;RSSI medio (dB);Resultado jiga;Status;ULTIMO INVENTARIO
6996077;-;-;83887591;White Knight;83887591;;21/07/2020;nexxto;Gateway; - ;Nao;83887591;61.0;-19.295081967213115;APROVADO;Em estoque;-
6643820;-;-;83887429;White Knight;83887429;;04/06/2020;nexxto;Gateway; - ;Nao;83887429;61.0;-24.721311475409838;APROVADO;Em estoque;-
9404547;-;-;83888018;White Knight;83888018;;01/06/2021;nexxto;Gateway; - ;Nao;83888018;75.0;-46.306666666666665;APROVADO;Em estoque;-
98316;VYA;-;83886560;White Knight;83886560;;20/06/2017;nexxto;Gateway; - ;Nao;83886560;40.0;-55.7;APROVADO;Em estoque;-
6996068;ONC13 SP - INORP;Projeto Oncoclinicas;83887583;White Knight;83887583;;21/07/2020;nexxto;Gateway; - ;Nao;83887583;52.0;-19.0;APROVADO;Em estoque;-
6643829;-;-;83887353;White Knight;83887353;;04/06/2020;nexxto;Gateway; - ;Nao;83887353;62.0;-29.338709677419356;APROVADO;Em estoque;-
6996095;-;-;83887582;White Knight;83887582;;21/07/2020;nexxto;Gateway; - ;Nao;83887582;61.0;-34.98360655737705;APROVADO;Em estoque;-
9404568;-;-;83887985;White Knight;83887985;;01/06/2021;nexxto;Gateway; - ;Nao;83887985;70.0;-22.32857142857143;APROVADO;Em estoque;-
270364;Qualicorp - Belo Horizonte;-;83886624;White Knight;83886624;;14/07/2017;nexxto;Gateway; - ;Nao;83886624;63.0;-41.523809523809526;APROVADO;Em estoque;-
6643838;-;-;83887425;White Knight;83887425;;04/06/2020;nexxto;Gateway; - ;Nao;83887425;60.0;-24.183333333333334;APROVADO;Em estoque;-
6996086;ONC14 SP - Pro Onco;Projeto Oncoclinicas;83887581;White Knight;83887581;;21/07/2020;nexxto;Gateway; - ;Nao;83887581;67.0;-19.53731343283582;APROVADO;Em estoque;-
9404577;HDL;-;83887989;White Knight;83887989;;01/06/2021;nexxto;Gateway; - ;Nao;83887989;61.0;-44.36065573770492;APROVADO;Em estoque;-
